Lat,Lon,Pixval
48.710707099413,-89.854188718749,32
48.710707099413,-89.85393847341,34
48.710707099413,-89.853688228072,18
48.710707099413,-89.853437982733,21
48.710707099413,-89.853187737395,40
48.710707099413,-89.852937492056,65
48.710456395188,-89.854689209426,39
48.710456395188,-89.854438964088,18
48.710456395188,-89.854188718749,13
48.710456395188,-89.85393847341,13
48.710456395188,-89.853688228072,18
48.710456395188,-89.853437982733,17
48.710456395188,-89.853187737395,20
48.710456395188,-89.852937492056,50
48.710456395188,-89.852687246718,57
48.710456395188,-89.852437001379,68
48.710456395188,-89.85218675604,76
48.710456395188,-89.851936510702,62
48.710205690962,-89.854939454765,68
48.710205690962,-89.854689209426,51
48.710205690962,-89.854438964088,24
48.710205690962,-89.854188718749,12
48.710205690962,-89.85393847341,18
48.710205690962,-89.853688228072,12
48.710205690962,-89.853437982733,15
48.710205690962,-89.853187737395,28
48.710205690962,-89.852937492056,15
48.710205690962,-89.852687246718,50
48.710205690962,-89.852437001379,53
48.710205690962,-89.85218675604,59
48.710205690962,-89.851936510702,70
48.710205690962,-89.851686265363,78
48.710205690962,-89.851436020025,51
48.710205690962,-89.851185774686,68
48.710205690962,-89.850935529348,76
48.710205690962,-89.850685284009,61
48.709954986737,-89.855439945442,72
48.709954986737,-89.855189700103,73
48.709954986737,-89.854939454765,67
48.709954986737,-89.854689209426,57
48.709954986737,-89.854438964088,32
48.709954986737,-89.854188718749,9
48.709954986737,-89.85393847341,9
48.709954986737,-89.853688228072,0
48.709954986737,-89.853437982733,0
48.709954986737,-89.853187737395,29
48.709954986737,-89.852937492056,23
48.709954986737,-89.852687246718,50
48.709954986737,-89.852437001379,73
48.709954986737,-89.85218675604,78
48.709954986737,-89.851936510702,67
48.709954986737,-89.851686265363,76
48.709954986737,-89.851436020025,65
48.709954986737,-89.851185774686,62
48.709704282511,-89.855940436119,45
48.709704282511,-89.85569019078,48
48.709704282511,-89.855439945442,68
48.709704282511,-89.855189700103,72
48.709704282511,-89.854939454765,76
48.709704282511,-89.854689209426,56
48.709704282511,-89.854438964088,34
48.709704282511,-89.854188718749,17
48.709704282511,-89.85393847341,10
48.709704282511,-89.853688228072,9
48.709704282511,-89.853437982733,15
48.709704282511,-89.853187737395,26
48.709704282511,-89.852937492056,42
48.709704282511,-89.852687246718,73
48.709704282511,-89.852437001379,73
48.709704282511,-89.85218675604,79
48.709704282511,-89.851936510702,67
48.709704282511,-89.851686265363,72
48.709453578286,-89.856190681458,
48.709453578286,-89.855940436119,40
48.709453578286,-89.85569019078,32
48.709453578286,-89.855439945442,83
48.709453578286,-89.855189700103,92
48.709453578286,-89.854939454765,64
48.709453578286,-89.854689209426,73
48.709453578286,-89.854438964088,26
48.709453578286,-89.854188718749,17
48.709453578286,-89.85393847341,20
48.709453578286,-89.853688228072,15
48.709453578286,-89.853437982733,10
48.709453578286,-89.853187737395,15
48.709453578286,-89.852937492056,67
48.709453578286,-89.852687246718,75
48.709453578286,-89.852437001379,81
48.709453578286,-89.85218675604,84
48.709202874061,-89.85569019078,62
48.709202874061,-89.855439945442,59
48.709202874061,-89.855189700103,79
48.709202874061,-89.854939454765,84
48.709202874061,-89.854689209426,73
48.709202874061,-89.854438964088,48
48.709202874061,-89.854188718749,24
48.709202874061,-89.85393847341,18
48.709202874061,-89.853688228072,18
48.709202874061,-89.853437982733,15
48.709202874061,-89.853187737395,20
48.709202874061,-89.852937492056,37
48.709202874061,-89.852687246718,75
48.708952169835,-89.855189700103,51
48.708952169835,-89.854939454765,39
48.708952169835,-89.854689209426,59
48.708952169835,-89.854438964088,57
48.708952169835,-89.854188718749,51
48.708952169835,-89.85393847341,18
48.708952169835,-89.853688228072,29
48.708952169835,-89.853437982733,50
48.708952169835,-89.853187737395,56
48.70870146561,-89.854689209426,42
48.70870146561,-89.854438964088,43
48.70870146561,-89.854188718749,46
48.70870146561,-89.85393847341,31
48.70870146561,-89.853688228072,31
