Lat,Lon,Pixval
48.740219898346,-89.779203791599,97
48.73996919412,-89.779203791599,87
48.73996919412,-89.77895354626,101
48.739718489895,-89.779203791599,101
48.739718489895,-89.77895354626,104
48.739718489895,-89.778703300922,92
48.739467785669,-89.779454036938,81
48.739467785669,-89.779203791599,84
48.739467785669,-89.77895354626,61
48.739467785669,-89.778703300922,69
48.739467785669,-89.778453055583,70
48.739217081444,-89.779454036938,80
48.739217081444,-89.779203791599,52
48.739217081444,-89.77895354626,58
48.739217081444,-89.778703300922,72
48.739217081444,-89.778453055583,81
48.739217081444,-89.778202810245,103
48.738966377219,-89.779454036938,58
48.738966377219,-89.779203791599,69
48.738966377219,-89.77895354626,67
48.738966377219,-89.778703300922,87
48.738966377219,-89.778453055583,69
48.738966377219,-89.778202810245,55
48.738966377219,-89.777952564906,72
48.738715672993,-89.779454036938,42
48.738715672993,-89.779203791599,35
48.738715672993,-89.77895354626,30
48.738715672993,-89.778703300922,30
48.738715672993,-89.778453055583,27
48.738715672993,-89.778202810245,30
48.738715672993,-89.777952564906,33
48.738715672993,-89.777702319568,28
48.738464968768,-89.779704282276,41
48.738464968768,-89.779454036938,21
48.738464968768,-89.779203791599,25
48.738464968768,-89.77895354626,17
48.738464968768,-89.778703300922,33
48.738464968768,-89.778453055583,35
48.738464968768,-89.778202810245,25
48.738464968768,-89.777952564906,30
48.738464968768,-89.777702319568,24
48.738464968768,-89.777452074229,24
48.738214264543,-89.779704282276,42
48.738214264543,-89.779454036938,35
48.738214264543,-89.779203791599,27
48.738214264543,-89.77895354626,31
48.738214264543,-89.778703300922,61
48.738214264543,-89.778453055583,62
48.738214264543,-89.778202810245,52
48.738214264543,-89.777952564906,38
48.738214264543,-89.777702319568,44
48.738214264543,-89.777452074229,47
48.738214264543,-89.777201828891,24
48.737963560317,-89.779704282276,36
48.737963560317,-89.779454036938,42
48.737963560317,-89.779203791599,44
48.737963560317,-89.77895354626,22
48.737963560317,-89.778703300922,31
48.737963560317,-89.778453055583,50
48.737963560317,-89.778202810245,50
48.737963560317,-89.777952564906,53
48.737963560317,-89.777702319568,64
48.737963560317,-89.777452074229,44
48.737963560317,-89.777201828891,24
48.737963560317,-89.776951583552,50
48.737712856092,-89.779704282276,42
48.737712856092,-89.779454036938,44
48.737712856092,-89.779203791599,53
48.737712856092,-89.77895354626,41
48.737712856092,-89.778703300922,35
48.737712856092,-89.778453055583,33
48.737712856092,-89.778202810245,19
48.737712856092,-89.777952564906,38
48.737712856092,-89.777702319568,52
48.737712856092,-89.777452074229,50
48.737712856092,-89.777201828891,39
48.737712856092,-89.776951583552,53
48.737712856092,-89.776701338213,50
48.737462151867,-89.779954527615,47
48.737462151867,-89.779704282276,45
48.737462151867,-89.779454036938,16
48.737462151867,-89.779203791599,19
48.737462151867,-89.77895354626,48
48.737462151867,-89.778703300922,35
48.737462151867,-89.778453055583,8
48.737462151867,-89.778202810245,16
48.737462151867,-89.777952564906,22
48.737462151867,-89.777702319568,61
48.737462151867,-89.777452074229,56
48.737462151867,-89.777201828891,55
48.737462151867,-89.776951583552,45
48.737462151867,-89.776701338213,48
48.737462151867,-89.776451092875,55
48.737211447641,-89.779954527615,59
48.737211447641,-89.779704282276,59
48.737211447641,-89.779454036938,56
48.737211447641,-89.779203791599,62
48.737211447641,-89.77895354626,64
48.737211447641,-89.778703300922,44
48.737211447641,-89.778453055583,33
48.737211447641,-89.778202810245,27
48.737211447641,-89.777952564906,35
48.737211447641,-89.777702319568,42
48.737211447641,-89.777452074229,42
48.737211447641,-89.777201828891,56
48.737211447641,-89.776951583552,45
48.737211447641,-89.776701338213,50
48.737211447641,-89.776451092875,55
48.737211447641,-89.776200847536,53
48.736960743416,-89.779954527615,38
48.736960743416,-89.779704282276,44
48.736960743416,-89.779454036938,52
48.736960743416,-89.779203791599,52
48.736960743416,-89.77895354626,42
48.736960743416,-89.778703300922,55
48.736960743416,-89.778453055583,31
48.736960743416,-89.778202810245,35
48.736960743416,-89.777952564906,30
48.736960743416,-89.777702319568,30
48.736960743416,-89.777452074229,25
48.736960743416,-89.777201828891,33
48.736960743416,-89.776951583552,8
48.736960743416,-89.776701338213,39
48.736960743416,-89.776451092875,48
48.736960743416,-89.776200847536,50
48.736960743416,-89.775950602198,86
48.736710039191,-89.779954527615,44
48.736710039191,-89.779704282276,38
48.736710039191,-89.779454036938,30
48.736710039191,-89.779203791599,33
48.736710039191,-89.77895354626,30
48.736710039191,-89.778703300922,35
48.736710039191,-89.778453055583,38
48.736710039191,-89.778202810245,56
48.736710039191,-89.777952564906,75
48.736710039191,-89.777702319568,81
48.736710039191,-89.777452074229,103
48.736710039191,-89.777201828891,111
48.736710039191,-89.776951583552,62
48.736459334965,-89.779954527615,39
48.736459334965,-89.779704282276,39
48.736459334965,-89.779454036938,13
48.736459334965,-89.779203791599,19
48.736459334965,-89.77895354626,33
48.736459334965,-89.778703300922,30
48.736459334965,-89.778453055583,11
48.736459334965,-89.778202810245,27
48.736459334965,-89.777952564906,30
48.73620863074,-89.779954527615,93
48.73620863074,-89.779704282276,36
48.73620863074,-89.779454036938,22
48.73620863074,-89.779203791599,25
48.73620863074,-89.77895354626,36
48.73620863074,-89.778703300922,33
48.735957926515,-89.779954527615,129
48.735957926515,-89.779704282276,78
