Lat,Lon,Pixval
48.836741706073,-90.133606204396,109
48.836741706073,-90.133356044447,82
48.836741706073,-90.133105884498,80
48.836741706073,-90.132855724549,84
48.836741706073,-90.1326055646,110
48.836741706073,-90.132355404651,67
48.836741706073,-90.132105244703,69
48.836741706073,-90.131855084754,65
48.836741706073,-90.131604924805,67
48.836741706073,-90.131354764856,50
48.83649096861,-90.133606204396,97
48.83649096861,-90.133356044447,84
48.83649096861,-90.133105884498,69
48.83649096861,-90.132855724549,70
48.83649096861,-90.1326055646,114
48.83649096861,-90.132355404651,94
48.83649096861,-90.132105244703,77
48.83649096861,-90.131855084754,82
48.83649096861,-90.131604924805,77
48.83649096861,-90.131354764856,72
48.83649096861,-90.131104604907,72
48.83649096861,-90.130854444959,87
48.83649096861,-90.13060428501,135
48.83649096861,-90.130354125061,145
48.83649096861,-90.130103965112,95
48.83649096861,-90.129853805163,109
48.83649096861,-90.129603645214,109
48.83649096861,-90.129353485266,89
48.83649096861,-90.129103325317,104
48.83649096861,-90.128853165368,115
48.836240231147,-90.133856364344,99
48.836240231147,-90.133606204396,84
48.836240231147,-90.133356044447,72
48.836240231147,-90.133105884498,72
48.836240231147,-90.132855724549,102
48.836240231147,-90.1326055646,102
48.836240231147,-90.132355404651,77
48.836240231147,-90.132105244703,77
48.836240231147,-90.131855084754,72
48.836240231147,-90.131604924805,70
48.836240231147,-90.131354764856,79
48.836240231147,-90.131104604907,75
48.836240231147,-90.130854444959,94
48.836240231147,-90.13060428501,80
48.836240231147,-90.130354125061,79
48.836240231147,-90.130103965112,80
48.836240231147,-90.129853805163,84
48.836240231147,-90.129603645214,104
48.836240231147,-90.129353485266,115
48.836240231147,-90.129103325317,132
48.836240231147,-90.128853165368,109
48.836240231147,-90.128603005419,97
48.836240231147,-90.12835284547,84
48.836240231147,-90.128102685522,102
48.836240231147,-90.127852525573,92
48.836240231147,-90.127602365624,104
48.836240231147,-90.127352205675,100
48.836240231147,-90.127102045726,100
48.836240231147,-90.126851885777,100
48.836240231147,-90.126601725829,105
48.836240231147,-90.12635156588,102
48.835989493684,-90.133856364344,59
48.835989493684,-90.133606204396,60
48.835989493684,-90.133356044447,59
48.835989493684,-90.133105884498,92
48.835989493684,-90.132855724549,82
48.835989493684,-90.1326055646,110
48.835989493684,-90.132355404651,110
48.835989493684,-90.132105244703,92
48.835989493684,-90.131855084754,92
48.835989493684,-90.131604924805,74
48.835989493684,-90.131354764856,82
48.835989493684,-90.131104604907,82
48.835989493684,-90.130854444959,59
48.835989493684,-90.13060428501,54
48.835989493684,-90.130354125061,57
48.835989493684,-90.130103965112,57
48.835989493684,-90.129853805163,67
48.835989493684,-90.129603645214,79
48.835989493684,-90.129353485266,100
48.835989493684,-90.129103325317,120
48.835989493684,-90.128853165368,127
48.835989493684,-90.128603005419,117
48.835989493684,-90.12835284547,105
48.835989493684,-90.128102685522,117
48.835989493684,-90.127852525573,117
48.835989493684,-90.127602365624,102
48.835989493684,-90.127352205675,125
48.835989493684,-90.127102045726,134
48.835989493684,-90.126851885777,117
48.835989493684,-90.126601725829,115
48.835989493684,-90.12635156588,100
48.835989493684,-90.126101405931,124
48.835989493684,-90.125851245982,94
48.835989493684,-90.125601086033,125
48.835989493684,-90.125350926085,134
