Lat,Lon,Pixval
48.677907760444,-89.826965332031,
48.677907760444,-89.826715086693,-25728
48.677907760444,-89.826464841354,10176
48.677907760444,-89.826214596016,2336
48.677907760444,-89.825964350677,734
48.677907760444,-89.825714105338,-32656
48.677907760444,-89.82546386,-32618
48.677907760444,-89.825213614661,20516
48.677907760444,-89.824963369323,-8696
48.677907760444,-89.824713123984,8194
48.677907760444,-89.824462878646,-31872
48.677907760444,-89.824212633307,8320
48.677907760444,-89.823962387968,2280
48.677907760444,-89.82371214263,630
48.677907760444,-89.823461897291,55
48.677907760444,-89.823211651953,8336
48.677907760444,-89.822961406614,38
48.677907760444,-89.822711161276,-28156
48.677907760444,-89.822460915937,9217
48.677907760444,-89.822210670598,18176
48.677907760444,-89.82196042526,5024
48.677907760444,-89.821710179921,1176
48.677907760444,-89.821459934583,550
48.677907760444,-89.821209689244,39
48.677907760444,-89.820959443906,-8056
48.677907760444,-89.820709198567,-4064
48.677907760444,-89.820458953228,8200
48.677907760444,-89.82020870789,1794
48.677907760444,-89.819958462551,-32256
48.677907760444,-89.819708217213,8224
48.677907760444,-89.819457971874,2352
48.677907760444,-89.819207726536,462
48.677907760444,-89.818957481197,-32695
48.677907760444,-89.818707235859,16468
48.677907760444,-89.81845699052,6919
48.677907760444,-89.818206745181,-23811
48.677907760444,-89.817956499843,27135
48.677907760444,-89.817706254504,12128
48.677907760444,-89.817456009166,-2353
48.677907760444,-89.817205763827,-573
48.677907760444,-89.816955518489,-76
48.677907760444,-89.81670527315,-16533
48.677907760444,-89.816455027811,12253
48.677907760444,-89.816204782473,17399
48.677907760444,-89.815954537134,-5379
48.677907760444,-89.815704291796,767
48.677907760444,-89.815454046457,896
48.677907760444,-89.815203801119,1664
48.677907760444,-89.81495355578,312
48.677907760444,-89.814703310441,194
48.677907760444,-89.814453065103,-32721
48.677907760444,-89.814202819764,-24574
48.677907760444,-89.813952574426,-5369
48.677907760444,-89.813702329087,-1795
48.677907760444,-89.813452083749,32255
48.677907760444,-89.81320183841,8040
48.677907760444,-89.812951593071,15610
48.677907760444,-89.812701347733,7304
48.677907760444,-89.812451102394,-512
48.677907760444,-89.812200857056,-17025
48.677907760444,-89.811950611717,-4449
48.677907760444,-89.811700366379,-1049
