Lat,Lon,Pixval
48.740705450723,-89.862728307235,68
48.740705450723,-89.862478061897,70
48.740705450723,-89.862227816558,75
48.740705450723,-89.86197757122,81
48.740705450723,-89.861727325881,123
48.740454746498,-89.862978552574,57
48.740454746498,-89.862728307235,56
48.740454746498,-89.862478061897,62
48.740454746498,-89.862227816558,79
48.740454746498,-89.86197757122,54
48.740454746498,-89.861727325881,68
48.740454746498,-89.861477080543,79
48.740454746498,-89.861226835204,72
48.740454746498,-89.860976589865,73
48.740454746498,-89.860726344527,120
48.740204042272,-89.863228797913,
48.740204042272,-89.862978552574,50
48.740204042272,-89.862728307235,65
48.740204042272,-89.862478061897,48
48.740204042272,-89.862227816558,59
48.740204042272,-89.86197757122,54
48.740204042272,-89.861727325881,59
48.740204042272,-89.861477080543,68
48.740204042272,-89.861226835204,59
48.740204042272,-89.860976589865,78
48.739953338047,-89.863228797913,
48.739953338047,-89.862978552574,72
48.739953338047,-89.862728307235,72
48.739953338047,-89.862478061897,70
48.739953338047,-89.862227816558,83
48.739953338047,-89.86197757122,70
48.739953338047,-89.861727325881,75
48.739953338047,-89.861477080543,64
48.739953338047,-89.861226835204,70
48.739702633822,-89.862227816558,122
48.739702633822,-89.86197757122,116
48.739702633822,-89.861727325881,84
48.739702633822,-89.861477080543,72
